contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate,optionType
SPY251128P00531000,2025-05-28 17:48:23+00:00,531.0,11.83,12.22,12.34,-0.010000229,-0.08446139,3.0,0.0,0.21057918334960937,False,REGULAR,USD,2025-11-28,put
SPY251128P00534000,2025-05-27 19:18:55+00:00,534.0,12.35,12.73,12.85,0.0,0.0,,1.0,0.20803099105834955,False,REGULAR,USD,2025-11-28,put
SPY251128P00538000,2025-05-27 19:59:25+00:00,538.0,12.9,13.43,13.56,0.0,0.0,,2.0,0.20459779785156246,False,REGULAR,USD,2025-11-28,put
SPY251128P00540000,2025-05-28 14:08:24+00:00,540.0,13.18,13.79,13.92,0.029999733,0.22813484,3.0,4.0,0.20281253738403315,False,REGULAR,USD,2025-11-28,put
SPY251128P00545000,2025-05-27 17:57:30+00:00,545.0,14.23,14.74,14.88,0.0,0.0,,4.0,0.1984180500793457,False,REGULAR,USD,2025-11-28,put
SPY251128P00546000,2025-05-28 15:04:29+00:00,546.0,14.5,14.94,15.07,-0.029999733,-0.20646754,2.0,0.0,0.1974643852996826,False,REGULAR,USD,2025-11-28,put
SPY251128P00548000,2025-05-27 19:18:55+00:00,548.0,14.87,15.34,15.48,0.0,0.0,,2.0,0.19570964210510253,False,REGULAR,USD,2025-11-28,put
SPY251128P00549000,2025-05-28 13:39:08+00:00,549.0,14.56,15.55,15.68,0.0,0.0,1.0,0.0,0.19477123596191404,False,REGULAR,USD,2025-11-28,put
SPY251128P00550000,2025-05-28 19:50:02+00:00,550.0,15.65,15.76,15.89,0.39000034,2.5557036,33.0,5.0,0.19387097640991213,False,REGULAR,USD,2025-11-28,put
SPY251128P00554000,2025-05-27 15:01:34+00:00,554.0,16.64,16.61,16.75,0.0,0.0,,1.0,0.1902089036560059,False,REGULAR,USD,2025-11-28,put
SPY251128P00555000,2025-05-28 17:18:03+00:00,555.0,16.11,16.83,16.97,-0.20999908,-1.2867591,2.0,0.0,0.18927812683105472,False,REGULAR,USD,2025-11-28,put
SPY251128P00560000,2025-05-28 19:45:23+00:00,560.0,17.89,17.98,18.12,0.52000046,2.99367,28.0,29.0,0.18459372543334956,False,REGULAR,USD,2025-11-28,put
SPY251128P00562000,2025-05-28 13:47:39+00:00,562.0,17.37,18.46,18.6,0.0,0.0,1.0,0.0,0.1826863958740234,False,REGULAR,USD,2025-11-28,put
SPY251128P00565000,2025-05-27 19:29:18+00:00,565.0,18.61,19.2,19.35,0.0,0.0,,3.0,0.17983303085327146,False,REGULAR,USD,2025-11-28,put
SPY251128P00566000,2025-05-27 19:18:55+00:00,566.0,18.84,19.46,19.61,0.0,0.0,,1.0,0.1789022540283203,False,REGULAR,USD,2025-11-28,put
SPY251128P00567000,2025-05-27 15:50:23+00:00,567.0,19.65,19.72,19.87,0.0,0.0,,1.0,0.17794095993041992,False,REGULAR,USD,2025-11-28,put
SPY251128P00568000,2025-05-28 16:33:27+00:00,568.0,19.49,19.98,20.13,0.20999908,1.0892068,3.0,18.0,0.1769644071960449,False,REGULAR,USD,2025-11-28,put
SPY251128P00569000,2025-05-28 16:33:26+00:00,569.0,19.75,20.24,20.4,0.020000458,0.1013708,8.0,19.0,0.17601837173461915,False,REGULAR,USD,2025-11-28,put
SPY251128P00570000,2025-05-27 17:24:24+00:00,570.0,19.82,20.51,20.66,0.0,0.0,,14.0,0.17498078445434573,False,REGULAR,USD,2025-11-28,put
SPY251128P00571000,2025-05-27 17:20:52+00:00,571.0,20.03,20.78,20.94,0.0,0.0,,31.0,0.17403474899291993,False,REGULAR,USD,2025-11-28,put
SPY251128P00572000,2025-05-28 16:32:10+00:00,572.0,20.52,21.06,21.22,0.17000008,0.8353812,4.0,13.0,0.17307345489501952,False,REGULAR,USD,2025-11-28,put
SPY251128P00573000,2025-05-28 14:58:15+00:00,573.0,20.9,21.34,21.5,0.3199997,1.5549062,140.0,33.0,0.17208164352416994,False,REGULAR,USD,2025-11-28,put
SPY251128P00574000,2025-05-27 18:20:43+00:00,574.0,20.8,21.63,21.78,0.0,0.0,,21.0,0.17105931488037113,False,REGULAR,USD,2025-11-28,put
SPY251128P00575000,2025-05-28 19:27:14+00:00,575.0,21.35,21.91,22.07,0.12000084,0.5652418,11.0,29.0,0.1700751328277588,False,REGULAR,USD,2025-11-28,put
SPY251128P00576000,2025-05-27 17:18:58+00:00,576.0,21.53,22.21,22.36,0.0,0.0,,44.0,0.1690604335021973,False,REGULAR,USD,2025-11-28,put
SPY251128P00577000,2025-05-28 16:33:27+00:00,577.0,21.95,22.5,22.66,0.22999954,1.0589297,4.0,46.0,0.16808388076782232,False,REGULAR,USD,2025-11-28,put
SPY251128P00578000,2025-05-28 19:45:23+00:00,578.0,22.64,22.8,22.96,0.7900009,3.615565,36.0,60.0,0.16706918144226077,False,REGULAR,USD,2025-11-28,put
SPY251128P00579000,2025-05-27 17:33:25+00:00,579.0,22.4,23.11,23.27,0.0,0.0,,33.0,0.1660849993896485,False,REGULAR,USD,2025-11-28,put
SPY251128P00580000,2025-05-28 16:30:23+00:00,580.0,22.79,23.42,23.58,0.20999908,0.9300224,1.0,16.0,0.16507792938232424,False,REGULAR,USD,2025-11-28,put
SPY251128P00581000,2025-05-28 19:23:46+00:00,581.0,23.05,23.73,23.89,0.21999931,0.96364135,3.0,31.0,0.16404034210205082,False,REGULAR,USD,2025-11-28,put
SPY251128P00582000,2025-05-27 19:02:23+00:00,582.0,23.13,24.05,24.21,0.0,0.0,,47.0,0.16303327209472657,False,REGULAR,USD,2025-11-28,put
SPY251128P00583000,2025-05-27 19:00:36+00:00,583.0,23.54,24.37,24.54,0.0,0.0,,41.0,0.16204146072387693,False,REGULAR,USD,2025-11-28,put
SPY251128P00584000,2025-05-28 18:54:04+00:00,584.0,24.31,24.7,24.87,0.45000076,1.8860049,1.0,37.0,0.16103439071655273,False,REGULAR,USD,2025-11-28,put
SPY251128P00585000,2025-05-28 19:25:17+00:00,585.0,24.35,25.03,25.2,0.4300003,1.7976601,5.0,20.0,0.1599815447998047,False,REGULAR,USD,2025-11-28,put
SPY251128P00586000,2025-05-28 18:52:21+00:00,586.0,25.38,25.37,25.54,0.9699993,3.9737785,3.0,43.0,0.1589668454742432,False,REGULAR,USD,2025-11-28,put
SPY251128P00587000,2025-05-28 19:55:48+00:00,587.0,26.13,25.71,25.89,1.2000008,4.8134813,5.0,18.0,0.15797503410339356,False,REGULAR,USD,2025-11-28,put
SPY251128P00588000,2025-05-27 19:59:25+00:00,588.0,24.96,26.06,26.23,0.0,0.0,,26.0,0.156884041595459,True,REGULAR,USD,2025-11-28,put
SPY251128P00589000,2025-05-27 19:59:41+00:00,589.0,25.23,26.41,26.59,0.0,0.0,,47.0,0.15588460090637207,True,REGULAR,USD,2025-11-28,put
SPY251128P00590000,2025-05-28 19:08:23+00:00,590.0,25.6,26.77,26.95,-0.19000053,-0.7367217,3.0,17.0,0.15484701362609868,True,REGULAR,USD,2025-11-28,put
SPY251128P00591000,2025-05-28 16:32:11+00:00,591.0,26.42,27.14,27.31,0.5100002,1.9683529,2.0,27.0,0.15377127975463867,True,REGULAR,USD,2025-11-28,put
SPY251128P00592000,2025-05-28 13:44:55+00:00,592.0,25.69,27.51,27.68,-0.8199997,-3.0931711,1.0,13.0,0.15271843383789066,True,REGULAR,USD,2025-11-28,put
